09:46:13,VH400 ,VWC ,100.00
09:46:16,THERM200 ,Temperature ,17.80
09:47:17,THERM200 ,Temperature ,18.04
09:47:54,Murata  soil  sensor ,Temperature ,19.62
09:47:57,Murata  soil  sensor ,VWC ,17.40
09:48:00,Murata  soil  sensor ,EC  bulk ,0.05
09:48:03,Murata  soil  sensor ,EC  pore ,1.42
09:48:24,VH400 ,VWC ,100.00
09:48:27,THERM200 ,Temperature ,17.92
09:49:28,THERM200 ,Temperature ,17.92
09:50:11,Murata  soil  sensor ,Temperature ,19.69
09:50:14,Murata  soil  sensor ,VWC ,17.40
09:50:17,Murata  soil  sensor ,EC  bulk ,0.05
09:50:20,Murata  soil  sensor ,EC  pore ,1.42
09:50:41,VH400 ,VWC ,100.00
09:50:44,THERM200 ,Temperature ,17.67
09:51:46,THERM200 ,Temperature ,17.80
09:52:27,Murata  soil  sensor ,Temperature ,19.75
09:52:30,Murata  soil  sensor ,VWC ,17.30
09:52:33,Murata  soil  sensor ,EC  bulk ,0.05
09:52:36,Murata  soil  sensor ,EC  pore ,1.45
09:52:57,VH400 ,VWC ,100.00
09:53:00,THERM200 ,Temperature ,17.55
09:54:02,THERM200 ,Temperature ,17.80
09:54:44,Murata  soil  sensor ,Temperature ,19.81
09:54:47,Murata  soil  sensor ,VWC ,17.20
09:54:50,Murata  soil  sensor ,EC  bulk ,0.05
09:54:53,Murata  soil  sensor ,EC  pore ,1.46
09:55:14,VH400 ,VWC ,100.00
09:55:17,THERM200 ,Temperature ,14.74
09:56:18,THERM200 ,Temperature ,15.23
09:57:00,Murata  soil  sensor ,Temperature ,19.81
09:57:03,Murata  soil  sensor ,VWC ,17.20
09:57:06,Murata  soil  sensor ,EC  bulk ,0.05
09:57:09,Murata  soil  sensor ,EC  pore ,1.47
09:57:30,VH400 ,VWC ,100.00
09:57:33,THERM200 ,Temperature ,13.40
09:58:35,THERM200 ,Temperature ,12.79
09:59:17,Murata  soil  sensor ,Temperature ,19.87
09:59:20,Murata  soil  sensor ,VWC ,17.20
09:59:23,Murata  soil  sensor ,EC  bulk ,0.05
09:59:26,Murata  soil  sensor ,EC  pore ,1.46
09:59:47,VH400 ,VWC ,100.00
09:59:50,THERM200 ,Temperature ,13.40
10:00:52,THERM200 ,Temperature ,14.01
10:01:34,Murata  soil  sensor ,Temperature ,19.94
10:01:37,Murata  soil  sensor ,VWC ,17.20
10:01:39,Murata  soil  sensor ,EC  bulk ,0.05
10:01:43,Murata  soil  sensor ,EC  pore ,1.46
10:02:04,VH400 ,VWC ,100.00
10:02:07,THERM200 ,Temperature ,13.52
10:03:08,THERM200 ,Temperature ,14.01
10:03:50,Murata  soil  sensor ,Temperature ,20.00
10:03:53,Murata  soil  sensor ,VWC ,17.20
10:03:56,Murata  soil  sensor ,EC  bulk ,0.05
10:03:59,Murata  soil  sensor ,EC  pore ,1.45
10:04:20,VH400 ,VWC ,100.00
10:04:23,THERM200 ,Temperature ,15.11
10:05:25,THERM200 ,Temperature ,13.89
10:06:07,Murata  soil  sensor ,Temperature ,20.06
10:06:10,Murata  soil  sensor ,VWC ,17.20
10:06:13,Murata  soil  sensor ,EC  bulk ,0.05
10:06:16,Murata  soil  sensor ,EC  pore ,1.46
10:06:36,VH400 ,VWC ,100.00
10:06:39,THERM200 ,Temperature ,14.37
10:07:42,THERM200 ,Temperature ,14.50
10:08:24,Murata  soil  sensor ,Temperature ,20.06
10:08:27,Murata  soil  sensor ,VWC ,17.10
10:08:30,Murata  soil  sensor ,EC  bulk ,0.05
10:08:33,Murata  soil  sensor ,EC  pore ,1.47
